"year","month","sealevel"
1995,1,0
1995,2,2.1
1995,3,1.8
1995,4,4.2
1995,5,-4.4
1995,6,0.800000000000004
1995,7,-4.09999999999999
1995,8,6.8
1995,9,9.3
1995,10,14
1995,11,8.1
1995,12,10.6
1996,1,-2.4
1996,2,7.7
1996,3,2.5
1996,4,6.40000000000001
1996,5,4.40000000000001
1996,6,7
1996,7,8.6
1996,8,11.5
1996,9,15.1
1996,10,26
1996,11,20.5
1996,12,8.8
1997,1,8.40000000000001
1997,2,5
1997,3,10
1997,4,6.6
1997,5,10.8
1997,6,7.90000000000001
1997,7,16.8
1997,8,17.1
1997,9,28.5
1997,10,23.2
1997,11,25.3
1997,12,13.8
1998,1,18.6
1998,2,15
1998,3,20.9
1998,4,17.1
1998,5,18.2
1998,6,12.5
1998,7,19.7
1998,8,19.4
1998,9,25.9
1998,10,28.2
1998,11,25.5
1998,12,22.7
1999,1,20.2
1999,2,20.5
1999,3,15.5
1999,4,16.3
1999,5,11.9
1999,6,13.6
1999,7,15
1999,8,22.5
1999,9,22.2
1999,10,34.5
1999,11,22.9
1999,12,30.1
2000,1,20
2000,2,24.3
2000,3,19.5
2000,4,21.3
2000,5,13.9
2000,6,19.8
2000,7,15.2
2000,8,25.9
2000,9,27.3
2000,10,36.7
2000,11,29.1
2000,12,27
2001,1,24.5
2001,2,23.8
2001,3,25.2
2001,4,24.3
2001,5,22.2
2001,6,22
2001,7,27.7
2001,8,27.3
2001,9,39.1
2001,10,34.3
2001,11,37.6
2001,12,27.9
2002,1,30
2002,2,28
2002,3,27.1
2002,4,26.2
2002,5,27
2002,6,24.2
2002,7,30.6
2002,8,36.3
2002,9,37.1
2002,10,42.5
2002,11,37.3
2002,12,34.5
2003,1,32.1
2003,2,32.7
2003,3,31.5
2003,4,30.1
2003,5,29.6
2003,6,26.3
2003,7,29.4
2003,8,33.1
2003,9,42
2003,10,42
2003,11,39.5
2003,12,36.5
2004,1,36.8
2004,2,32.6
2004,3,34.2
2004,4,33
2004,5,30.4
2004,6,29.8
2004,7,33.7
2004,8,35.8
2004,9,43.3
2004,10,41.7
2004,11,40.3
2004,12,40.5
2005,1,35.8
2005,2,36.6
2005,3,37.5
2005,4,34.7
2005,5,34.6
2005,6,34.9
2005,7,36.2
2005,8,40
2005,9,44.9
2005,10,47.5
2005,11,48.6
2005,12,45.9
2006,1,37.8
2006,2,39.1
2006,3,37.7
2006,4,37.6
2006,5,36.3
2006,6,37.1
2006,7,39.2
2006,8,42.8
2006,9,47.6
2006,10,50.7
2006,11,45.3
2006,12,44.9
2007,1,38.2
2007,2,38.5
2007,3,38.3
2007,4,42.2
2007,5,37.2
2007,6,36.5
2007,7,36.7
2007,8,41.9
2007,9,45.7
2007,10,49
2007,11,50.9
2007,12,44.1
2008,1,43.8
2008,2,39.4
2008,3,43.4
2008,4,41.2
2008,5,46.1
2008,6,42.9
2008,7,44.6
2008,8,47
2008,9,53.4
2008,10,54.9
2008,11,55.4
2008,12,50.8
2009,1,51.7
2009,2,48.7
2009,3,44.8
2009,4,48.6
2009,5,46.3
2009,6,47.7
2009,7,47.3
2009,8,49.5
2009,9,52.7
2009,10,59.1
2009,11,61
2009,12,60.1
2010,1,56.9
2010,2,50.1
2010,3,49.8
2010,4,49.7
2010,5,50.2
2010,6,50.8
2010,7,53.5
2010,8,52.9
2010,9,55.1
2010,10,55.7
2010,11,59.8
2010,12,56.5
2011,1,54.2
2011,2,49.6
2011,3,48.5
2011,4,44.8
2011,5,47.2
2011,6,45.7
2011,7,50.4
2011,8,49.4
2011,9,57.4
2011,10,58.3
2011,11,63.9
2011,12,59.9
2012,1,60.6
2012,2,61.5
2012,3,58.1
2012,4,57.3
2012,5,56.1
2012,6,57.2
2012,7,60
2012,8,64.4
2012,9,65.5
2012,10,70.1
2012,11,72.3
2012,12,72.2
2013,1,70.4
2013,2,67.9
2013,3,63.3
2013,4,65.9
2013,5,62.1
2013,6,62.7
2013,7,60.8
2013,8,64.9
2013,9,64.5
2013,10,70
2013,11,71.3
2013,12,73.1
2014,1,68.2
2014,2,66.7
2014,3,65.8
2014,4,66.5
2014,5,63.5
2014,6,63.2
2014,7,65
2014,8,68.4
2014,9,73.2
2014,10,74.5
2014,11,78.2
2014,12,74
